,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
30,0,0.074074074,57,0,0.522990211,10112.0,22,0,2,0,1.0
31,0,0.795612634,50,0,0.782937125,4500.0,14,0,2,0,3.0
32,0,0.724570719,46,0,0.224247306,9930.0,5,0,2,0,1.0
33,0,0.344638653,57,0,0.217852143,15000.0,10,0,2,0,1.0
34,0,0.6681978,57,0,0.490013993,7860.0,12,0,1,0,0.0
35,0,0.0,55,0,0.368059343,9166.0,11,0,2,0,2.0
36,0,0.689843533,38,0,0.185678601,1200.0,2,0,0,1,0.0
37,0,0.098514924,49,0,875.0,1.0,5,0,2,0,0.0
38,0,0.066720765,87,0,0.299863698,2200.0,18,0,1,0,0.0
39,0,0.9999999,58,1,0.0,3342.0,2,0,0,0,0.0
40,0,0.217956409,26,0,0.113924051,1500.0,5,0,0,0,2.0
41,0,0.033248813,42,0,2318.0,0.01,8,0,1,0,0.0
42,0,0.445877008,76,1,2.205789711,6666.0,16,0,1,0,1.0
43,0,0.75384923,62,0,0.317101858,4250.0,6,0,0,0,0.0
44,0,0.242451789,40,0,0.170982902,10000.0,4,0,1,0,3.0
45,1,0.978007331,38,0,0.020222677,4400.0,2,1,0,0,2.0
46,0,0.050443323,71,0,0.375472117,4500.0,4,0,1,0,1.0
47,0,0.754470477,55,0,0.785602153,4458.0,9,0,2,0,0.0
48,0,0.072641128,67,0,0.052598247,30000.0,6,0,1,0,0.0
49,0,0.133776344,74,0,0.005649791,77170.0,11,0,0,0,1.0
50,0,0.475416223,53,0,2.365192582,700.0,8,0,1,0,0.0
51,0,0.055357786,65,0,0.028341246,6950.0,8,0,0,0,1.0
52,0,0.11029978,64,0,132.0,0.61,6,0,0,0,0.0
53,0,0.072429023,33,0,2654.0,0.08,10,0,2,0,3.0
54,0,0.736605769,60,0,0.536737791,11200.0,24,0,3,0,1.0
55,0,0.677474622,57,0,0.394578313,14607.0,13,0,2,0,0.0
56,0,0.0,23,0,0.089967869,2800.0,2,0,0,0,0.0
57,0,0.9999999,34,0,0.00155521,4500.0,0,0,0,0,0.0
58,0,0.271152565,50,0,0.911592242,2216.0,9,0,1,0,1.0
59,0,0.012968345,56,0,0.251725245,12461.0,7,0,1,0,0.0
60,0,0.029996908,76,0,0.003635537,4400.0,7,0,0,0,0.0
61,0,0.126536777,40,0,0.161528107,15600.0,10,0,1,0,2.0
62,0,0.490964931,41,0,0.44059521,4300.0,10,0,1,0,0.0
63,0,0.357494517,45,0,696.0,0.06,8,0,0,0,0.0
64,0,0.28147511,35,0,0.378012832,5766.0,4,1,1,1,0.0
65,0,0.226658081,34,0,0.766411196,3000.0,10,0,3,0,3.0
66,0,0.082638256,52,0,5545.0,0.01,18,0,2,0,2.0
67,0,0.046426302,59,0,0.145518912,16100.0,13,0,2,0,1.0
68,0,0.008493881,58,0,0.266961863,7000.0,11,0,0,0,0.0
69,0,0.121811293,69,0,2204.0,0.01,11,0,1,0,0.0
70,0,0.055230996,62,0,0.189645595,9000.0,21,0,0,0,1.0
71,0,0.073222588,64,0,0.227990694,16333.0,16,0,2,0,0.0
72,0,0.02729656,64,0,0.004142265,7000.0,6,0,0,0,0.0
73,1,0.738553836,52,0,0.105718154,9600.0,7,1,0,0,0.0
74,0,0.079575338,37,0,0.143964009,4000.0,7,0,0,0,0.0
75,0,0.080148972,37,0,0.006713327,7000.0,2,0,0,0,0.0
76,0,0.137286271,61,0,0.019592163,2500.0,4,0,0,0,0.0
77,0,0.119229785,62,0,4068.0,0.06,14,0,2,0,0.0
78,1,0.533682093,50,0,0.819091967,8589.0,10,6,1,4,0.0
79,0,0.44557052,58,0,0.344126984,15749.0,14,0,1,0,0.0
80,0,0.376924615,32,0,0.195428571,2624.0,4,0,0,0,0.0
81,0,0.102331327,59,0,0.131292931,11500.0,7,0,1,0,3.0
82,0,0.535450248,43,0,0.561657221,5116.0,7,0,2,0,0.0
83,0,0.397205589,23,0,0.004541326,1100.0,2,0,0,0,0.0
84,0,0.025528911,60,0,0.141507482,14500.0,6,0,2,0,1.0
85,1,0.683239059,47,5,0.716453047,7645.0,13,0,2,4,2.0
86,0,0.01210543,63,0,0.007037981,8240.0,13,0,0,0,0.0
87,0,0.287429673,57,0,0.168176577,6070.0,4,0,0,0,0.0
88,0,0.003813965,38,0,3.771324864,550.0,11,0,1,0,0.0
89,0,0.271294809,60,1,0.208355844,5552.0,6,0,1,0,0.0
90,1,0.173826174,38,1,0.090888434,4400.0,5,0,0,0,0.0
91,0,0.029520998,58,1,4604.0,0.0,21,0,2,0,0.0
92,0,0.364770936,58,0,0.313111422,15741.0,11,0,2,0,1.0
93,0,0.062321696,47,0,0.539977022,23500.0,7,0,4,0,2.0
94,0,0.256268593,56,0,7302.0,0.14,7,0,3,0,0.0
95,0,0.08604062,43,0,0.440889778,4000.0,3,0,1,0,0.0
96,0,0.004189583,56,1,0.229809418,11700.0,16,0,1,0,2.0
97,0,0.00813342,66,0,0.227846519,8000.0,17,0,1,0,0.0
98,0,0.221224532,67,0,2408.0,0.17,16,0,1,0,2.0
99,0,0.120369985,67,0,0.386209814,2363.0,12,0,1,0,2.0
100,0,0.08964696,64,0,0.237470316,8000.0,5,0,1,0,0.0
101,0,0.719809637,49,0,0.369359454,9085.0,9,0,2,0,3.0
102,0,0.036655105,49,0,0.489031488,6700.0,11,0,1,0,2.0
103,0,0.409726781,34,0,588.0,0.41,3,0,0,0,0.0
104,0,0.417787538,45,0,0.330411125,6615.0,10,0,2,0,0.0
105,0,0.00716268,46,0,13.0,106.53,3,0,0,0,0.0
106,0,0.10782884,61,0,0.010588559,7271.0,7,0,0,0,0.0
107,0,0.162268146,56,0,123.0,0.13,2,0,0,0,0.0
108,0,0.027279253,43,0,1726.0,0.14,4,0,1,0,4.0
109,0,0.140321492,58,1,0.141049383,3239.0,7,0,0,0,0.0
110,0,0.020632797,74,1,43.0,1203.01,7,0,0,1,0.0
111,0,0.225693464,35,0,2641.0,0.12,16,0,2,0,0.0
112,0,0.072570157,63,0,0.193838699,8666.0,10,0,1,0,0.0
113,0,0.027314352,84,0,15.0,48.48,3,0,0,0,0.0
114,0,0.033978436,57,0,0.008053319,3600.0,3,0,0,0,0.0
115,0,0.527026241,40,1,0.342088197,3083.0,10,0,0,0,0.0
116,1,1.115884116,42,0,0.517814288,5416.0,5,0,1,0,2.0
117,0,0.315713987,69,0,0.387217732,12000.0,11,0,2,0,1.0
118,0,0.0,50,0,272.0,0.35,8,0,0,0,0.0
119,0,0.0,77,0,0.19700333,1801.0,7,0,0,0,0.0
120,0,0.355941046,53,0,0.287841994,6176.0,7,0,2,0,0.0
121,0,0.315916937,64,2,0.470068301,7466.0,10,0,3,0,0.0
122,1,0.9999999,27,0,207.0,0.0,6,0,0,0,0.0
123,0,0.9999999,50,2,0.0,7713.0,1,2,0,1,0.0
124,0,0.000288882,81,0,3071.0,0.03,13,0,1,0,0.0
125,0,0.007611877,52,0,0.513497301,5000.0,7,0,2,0,0.0
126,0,0.002666444,45,0,0.0,2623.58,2,0,0,0,0.0
127,0,0.047597018,49,0,0.257896841,2500.0,7,0,1,0,0.0
128,0,0.34758725,42,0,0.274431392,4000.0,9,0,0,0,2.0
129,0,0.0,34,0,4.0,128.51,3,0,0,0,0.0
130,0,0.9999999,76,0,4.0,1350.82,2,0,0,0,0.0
131,0,0.053761543,28,0,0.007220217,3600.0,5,0,0,0,0.0
132,0,0.9999999,81,0,0.0,10500.0,1,0,0,0,0.0
133,0,0.52096535,30,0,0.323072876,3800.0,6,0,0,0,0.0
134,0,0.280297668,51,0,0.527578737,6000.0,9,0,3,0,0.0
135,1,0.9999999,49,1,0.278026035,5146.0,3,5,2,1,4.0
136,0,0.0,63,0,0.0,10500.0,6,0,0,0,0.0
137,0,0.030088711,44,0,2784.0,0.03,16,0,2,0,0.0
138,0,0.0,55,0,5244.0,0.1,7,0,1,0,1.0
139,0,0.830452792,36,1,0.248677249,1700.0,7,0,0,0,0.0
140,0,0.185187654,43,0,0.055195584,12500.0,5,0,1,0,2.0
141,0,0.012579418,63,0,0.221777822,10000.0,10,0,1,0,0.0
142,0,0.023464599,25,0,0.001071046,2800.0,1,0,0,0,0.0
143,0,0.874293195,68,2,0.597080584,5000.0,8,0,3,0,0.0
144,0,0.012989106,50,1,0.000538092,22300.0,23,0,0,0,2.0
145,0,0.445817776,34,0,1173.0,0.62,11,0,1,0,0.0
146,0,0.040447978,59,0,0.099339431,3935.0,2,0,0,0,1.0
147,1,0.0,43,6,0.420948617,7083.0,5,1,1,1,3.0
148,0,0.048973861,75,0,0.051081404,9200.0,8,0,0,0,0.0
149,0,0.457216323,47,0,0.441386238,9954.0,17,0,3,0,0.0
150,0,0.047641181,46,0,0.378564405,3050.0,9,0,1,0,1.0
151,0,0.111391689,54,0,0.278531638,7000.0,11,0,1,0,2.0
152,0,0.9999999,54,0,0.0,3097.8021428571433,0,0,0,0,0.0
153,0,0.001068831,60,0,0.185978745,5833.0,17,0,1,0,0.0
154,0,0.044976251,49,0,2686.0,0.01,5,0,1,0,0.0
155,0,0.276037685,61,0,0.990401536,6250.0,22,0,2,0,1.0
156,0,0.99342951,37,0,0.284816096,6361.0,3,0,1,0,3.0
157,0,1.070964518,39,0,0.143387604,3500.0,4,0,0,0,2.0
158,0,0.006892161,69,0,0.002689841,9665.0,14,0,0,0,1.0
159,0,0.829867479,44,0,0.561775586,8109.0,7,0,1,0,2.0
160,0,0.310772282,32,1,0.361599448,2900.0,8,0,1,0,2.0
161,0,0.006726696,67,0,0.202561118,11166.0,17,0,2,0,1.0
162,0,0.21454078,51,1,0.316698656,8335.0,7,0,2,0,2.0
163,0,0.064167374,68,0,51.0,0.38,4,0,0,0,0.0
164,0,0.537011575,42,0,0.563188254,7627.0,12,0,1,0,2.0
165,0,0.030183679,51,0,0.524702172,5707.0,11,0,2,0,1.0
166,0,0.010686832,56,0,0.164584077,2800.0,4,0,0,0,0.0
167,0,0.04798173,73,0,0.067990935,7500.0,10,0,1,0,0.0
168,0,0.096997577,78,0,0.382074117,3480.0,18,0,2,0,1.0
169,0,0.9999999,57,0,1092.0,0.01,4,0,0,0,0.0
170,0,0.089238998,29,1,0.983189459,2200.0,6,0,1,0,0.0
171,0,0.0,62,0,940.0,0.03,7,0,0,0,0.0
172,0,0.143868788,42,0,0.438361035,11250.0,8,0,1,0,3.0
173,0,0.144825459,27,0,0.199726402,2923.0,5,0,0,0,2.0
174,1,0.373717172,45,0,0.792004997,1600.0,21,0,0,0,0.0
175,0,0.08892922,46,0,0.048735462,5416.0,4,0,0,0,2.0
176,0,0.038159389,52,0,70.0,0.13,6,0,0,0,0.0
177,0,0.945369753,36,0,461.0,0.82,11,0,0,0,5.0
178,0,0.493500928,44,0,0.198244331,6834.0,4,0,1,0,3.0
179,0,0.600326523,57,0,0.196831746,19000.0,11,0,2,0,0.0
180,0,0.037915017,40,0,1.579545455,1583.0,14,0,3,0,0.0
181,0,0.291576674,50,0,0.333872964,10500.0,12,0,1,0,0.0
182,0,0.011299623,60,0,0.158892875,1950.0,9,0,0,0,0.0
183,0,0.017130681,79,0,0.185601578,5069.0,7,0,1,0,0.0
184,0,0.0,39,0,3182.0,0.14,6,0,1,0,2.0
185,0,0.083593313,28,0,476.0,0.24,7,0,0,0,0.0
186,0,0.1925349,38,0,0.225741941,12500.0,12,0,2,0,0.0
187,0,0.076394907,57,0,2547.0,0.01,3,0,1,0,0.0
188,0,0.148718884,32,0,0.152358183,4600.0,9,0,0,0,0.0
189,0,0.0,62,0,6.0,349.46,4,0,0,0,0.0
190,0,0.0,26,0,0.0019995,4000.0,1,0,0,0,0.0
191,0,0.055685288,54,0,0.643365463,11100.0,11,0,2,0,0.0
192,1,0.417715345,61,1,0.497316072,9500.0,4,1,1,1,0.0
193,1,0.794212219,53,0,0.433985839,2400.0,5,2,1,0,0.0
194,0,0.043950148,63,0,0.008099595,6666.0,7,0,0,0,0.0
195,0,0.841395009,35,0,2457.0,0.05,7,0,1,0,0.0
196,0,0.043289025,43,1,0.357914514,2128.0,7,0,0,0,0.0
197,0,0.228554289,25,1,0.020349875,2800.0,5,0,0,0,0.0
198,1,0.9999999,36,0,0.11001142,2626.0,1,1,0,1,0.0
199,0,0.085309411,42,0,0.466651517,8800.0,9,0,2,0,2.0
200,0,0.139295524,51,0,3.50249584,600.0,14,0,1,0,3.0
201,0,0.073451874,54,0,0.929400922,5424.0,11,0,2,0,2.0
202,0,0.116267362,48,0,0.503812023,8000.0,10,0,1,0,0.0
203,0,0.181929033,33,0,0.413917217,5000.0,7,0,2,0,1.0
204,0,0.257534638,51,0,0.765067291,3417.0,4,0,1,0,0.0
205,0,0.155877819,59,1,0.430525227,8700.0,7,0,2,0,0.0
206,0,0.052588258,60,0,2404.0,0.0,9,0,1,0,0.0
207,0,0.439938278,61,0,0.389193049,4200.0,4,1,2,1,1.0
208,0,0.027193464,63,0,2366.0,0.0,8,0,1,0,0.0
209,0,0.019998947,93,0,11.0,191.72,2,0,0,0,0.0
210,0,0.042417241,42,0,3357.0,0.02,6,0,1,0,0.0
211,0,0.713458281,52,0,0.343330477,3500.0,8,0,0,0,0.0
212,0,0.004185276,55,0,0.00119976,3333.0,9,0,0,0,0.0
213,0,0.06769731,75,0,0.082053743,2083.0,11,0,0,0,0.0
214,0,0.345934266,46,1,0.233666642,13300.0,13,0,0,0,1.0
215,0,0.997336884,37,1,479.0,0.24,4,1,0,1,0.0
216,0,0.166119126,57,4,0.10818487,3872.0,4,1,0,0,1.0
217,0,0.0,49,0,0.181212758,5705.0,5,0,1,0,3.0
218,0,0.083876003,41,0,0.089989158,8300.0,8,0,0,0,0.0
219,0,0.097183146,49,0,0.249613531,10996.0,8,0,2,0,2.0
220,0,0.9999999,50,0,0.15438829,16600.0,2,0,1,0,3.0
221,0,0.067275785,38,0,0.276683328,3400.0,10,0,2,0,0.0
222,0,0.401381456,43,0,0.342915045,18750.0,11,0,3,0,3.0
223,0,0.810021588,55,1,0.135413096,5833.0,4,0,0,1,0.0
224,1,0.984942948,48,0,0.407869482,2083.0,4,1,0,0,3.0
225,0,0.013159474,87,0,12.0,405.47,7,0,0,0,0.0
226,0,0.04059594,50,0,0.149080863,9410.0,9,0,1,0,0.0
227,0,0.027574086,73,0,982.0,0.01,5,0,1,0,0.0
228,0,0.0,55,0,0.449670529,4400.0,10,0,1,0,1.0
229,0,0.0,43,0,0.04565145,3000.0,5,0,0,0,1.0
230,0,0.157951263,64,0,0.49396188,6872.0,16,0,1,0,0.0
231,0,0.209217763,32,0,0.287492501,6667.0,7,0,2,0,1.0
232,0,0.016902162,87,0,0.002587322,10048.0,5,0,0,0,0.0
233,0,0.375526985,58,0,0.149461109,7700.0,7,0,0,0,0.0
234,1,0.071184949,41,0,1.943873179,2333.0,18,0,2,0,0.0
235,0,0.275161259,67,0,0.353685954,8450.0,14,0,2,0,0.0
236,0,0.322459284,30,0,0.242374279,6064.0,6,0,1,0,2.0
237,0,0.675397653,42,1,0.412141333,8433.0,8,0,1,0,2.0
238,0,0.592831872,45,0,0.248554913,13666.0,2,0,1,0,1.0
239,0,0.623437656,47,0,0.171457136,4000.0,9,0,0,0,0.0
240,0,0.111667152,68,0,0.342042122,3750.0,14,0,2,0,0.0
241,0,0.121627816,72,0,825.0,0.03,7,0,0,0,0.0
242,0,0.02213235,45,0,0.306311258,10916.0,7,0,2,0,2.0
243,0,0.0,81,0,7.673652695,333.0,6,0,1,0,0.0
244,1,0.9999999,34,1,0.390881216,7500.0,5,0,1,0,1.0
245,0,0.9999999,46,0,0.029411765,1223.0,2,0,0,0,1.0
246,0,0.001130336,59,0,0.0,3557.0760952380956,2,0,0,0,0.0
247,0,0.653869226,45,0,0.537492501,5000.0,3,0,1,0,0.0
248,0,0.294317065,31,0,0.484128968,4000.0,7,0,1,0,1.0
249,0,0.98920216,39,1,0.406918616,5000.0,6,0,1,0,2.0
250,0,0.197965009,42,2,0.363510712,5787.0,13,0,1,0,2.0
251,1,0.326416514,44,0,0.358511525,3600.0,11,0,0,0,0.0
252,0,0.857041224,42,0,0.153409603,11100.0,7,0,0,0,0.0
253,0,0.9999999,70,0,0.0,6182.965,1,0,0,0,0.0
254,0,0.265090827,45,0,0.076866667,29999.0,4,0,1,0,1.0
255,0,0.0,67,0,0.0,2393.2833333333333,1,0,0,0,0.0
256,0,0.287579325,55,0,0.238300936,8333.0,9,0,1,0,1.0
257,0,0.798136891,46,0,0.658440993,6888.0,7,0,1,0,3.0
258,0,0.053710079,47,0,0.273436467,7562.0,11,0,1,0,3.0
259,0,0.99834797,45,0,0.200359928,5000.0,9,0,0,0,2.0
260,0,0.06083778,64,0,1.412782956,750.0,10,0,1,0,0.0
261,0,0.092097244,48,0,0.204599425,8000.0,6,0,2,0,0.0
262,0,0.180971882,51,0,0.417349105,13187.0,8,0,3,0,3.0
263,0,0.9999999,33,1,2338.0,0.02,5,0,1,0,0.0
264,0,0.022994193,70,0,0.036282858,2700.0,7,0,0,0,0.0
265,0,0.038299043,43,0,0.211382114,9716.0,5,0,2,0,2.0
266,0,0.865440633,50,0,0.502171953,12200.0,11,0,2,0,3.0
267,0,0.173294642,43,0,1247.5,1.0,11,0,1,0,3.0
268,0,0.0,79,0,0.385523127,9490.0,13,0,3,0,0.0
269,0,0.022789059,69,0,36.0,0.11,6,0,0,0,0.0
270,0,0.062446856,48,0,0.005999333,9000.0,6,0,0,0,0.0
271,0,0.356601669,32,0,0.09070072,3053.0,5,0,0,0,2.0
272,0,0.063855733,72,3,0.092517007,1469.0,14,0,0,0,0.0
273,0,0.113730856,42,1,0.460657734,4104.0,9,0,1,0,3.0
274,0,0.605228286,54,2,0.082502769,1805.0,3,0,0,0,0.0
275,0,0.377333522,62,0,0.178832242,29166.0,6,0,2,0,0.0
276,0,0.019092014,63,0,0.024457776,6500.0,7,0,0,0,0.0
277,0,1.023501763,40,0,0.30823059,3000.0,6,0,0,0,2.0
278,0,0.9999999,23,0,4.0,126.14,1,0,0,0,0.0
279,0,0.004190277,38,0,2033.0,0.22,11,0,2,0,0.0
280,0,0.250213668,31,0,0.326128073,3700.0,9,0,1,0,1.0
281,0,0.003209228,79,0,0.001594896,6269.0,6,0,0,0,0.0
282,0,0.717543958,49,0,0.332065653,4995.0,5,0,1,0,2.0
283,0,0.9999999,33,0,0.219260247,3000.0,4,0,0,0,0.0
284,0,0.300573227,57,3,0.215525198,10833.0,11,0,1,0,1.0
285,0,0.9999999,21,0,0.0,864.0,1,0,0,0,0.0
286,0,0.681761711,44,1,0.903419316,1666.0,8,0,0,0,4.0
287,0,0.003824897,80,0,0.170258047,3758.0,12,0,1,0,0.0
288,0,0.448861961,54,0,0.292875246,10652.0,8,0,1,0,1.0
289,0,0.025820125,52,0,1854.0,0.08,7,0,1,0,0.0
290,0,0.020353371,77,0,0.214702824,12500.0,12,0,3,0,0.0
291,0,0.214147493,44,0,0.339260703,16420.0,15,0,7,0,3.0
292,0,0.073425075,43,0,0.008415934,5346.0,4,0,0,0,0.0
293,1,0.976023976,28,2,0.195521791,2500.0,7,1,0,0,0.0
294,0,0.719051238,65,0,0.858636611,7363.0,7,0,3,0,0.0
295,0,0.933309028,35,1,2254.0,0.0,10,0,0,0,3.0
296,0,0.016462834,68,0,1372.0,0.03,13,0,1,0,0.0
297,0,0.913520191,29,0,0.371582855,2962.0,6,0,0,0,2.0
298,0,0.249388031,40,0,0.430191571,6524.0,13,0,2,0,0.0
299,0,0.9999999,56,3,0.427961032,5850.0,3,0,1,0,0.0
300,0,0.082541703,35,0,0.331567253,5850.0,5,0,1,0,2.0
301,0,0.180611395,37,0,0.75361991,4419.0,10,0,1,0,2.0
302,1,0.687680165,50,1,0.314634865,13583.0,15,0,1,0,6.0
303,0,0.75083692,53,0,856.0,0.07,3,0,0,0,0.0
304,0,0.486558982,40,0,3.860911271,833.0,9,0,2,0,3.0
305,0,0.048870542,63,0,0.195322196,10474.0,5,0,2,0,1.0
306,0,0.197995112,51,0,0.782789507,3125.0,10,0,1,0,1.0
307,0,0.428476463,64,0,0.297197737,7600.0,13,0,1,0,0.0
308,0,0.072247682,58,0,0.361514127,9166.0,9,0,1,0,0.0
309,0,0.342562683,42,0,0.225583184,3900.0,10,0,1,0,1.0
310,0,0.05274731,50,0,0.744032428,6660.0,14,0,1,0,0.0
311,0,0.003199872,53,1,0.436695413,8000.0,10,0,4,0,1.0
312,0,0.080455112,42,0,0.202059982,3300.0,14,0,0,0,1.0
313,0,0.335110942,35,0,687.0,0.0,9,0,0,0,0.0
314,0,0.493789941,38,0,0.541235136,5213.0,8,0,1,0,2.0
315,0,0.087100856,58,0,0.357984293,9167.0,21,0,2,0,1.0
316,0,0.113833527,54,0,0.290424945,7247.0,11,0,1,0,1.0
317,0,0.383165421,40,0,0.319516767,4800.0,6,0,1,0,1.0
318,0,0.525810538,59,0,2867.0,0.01,3,0,1,0,0.0
319,1,0.781885397,44,1,0.608878224,5000.0,10,2,1,1,0.0
320,0,0.045093865,70,0,0.013993003,2000.0,5,0,0,0,0.0
321,0,1.49e-05,34,0,0.0,7000.0,2,0,0,0,0.0
322,0,0.0,54,0,0.156987424,7076.0,5,0,1,0,0.0
323,0,0.120199176,57,0,0.023577236,3689.0,2,0,0,0,0.0
324,0,0.459319646,46,1,1656.0,1.0,17,0,2,0,0.0
325,0,0.010196166,72,0,0.009788443,3166.0,14,0,0,0,0.0
326,0,0.280510888,54,0,0.260894925,12000.0,21,0,2,0,2.0
327,0,0.031142782,25,0,0.085674884,5800.0,9,0,0,0,0.0
328,0,0.355574544,55,0,3184.0,0.03,16,0,2,0,0.0
329,0,0.361212186,50,0,1.008877285,3829.0,11,0,2,0,1.0
330,1,0.985563388,50,0,0.431558935,4207.0,6,1,0,0,2.0
331,0,0.01672199,52,0,0.554210617,5782.0,14,0,2,0,3.0
332,0,0.219263431,62,0,722.0,0.08,6,0,0,0,2.0
333,0,0.118390112,72,0,0.321702454,5215.0,17,0,2,0,0.0
334,0,0.871353419,64,0,0.406345067,2300.0,5,0,0,0,1.0
335,0,0.959560049,49,0,0.301469853,10000.0,8,1,0,0,2.0
336,0,0.363119163,84,0,0.463076574,4400.0,6,0,0,0,0.0
337,0,0.114706604,56,1,0.461005199,7500.0,15,0,1,0,1.0
338,0,0.413663015,54,1,0.923819373,2900.0,5,0,1,0,0.0
339,0,0.095732237,62,0,1151.0,1.0,8,0,1,0,0.0
340,0,1.017853955,58,1,0.796340493,2513.0,9,0,1,0,0.0
341,0,0.291157257,30,0,0.08882478,6585.0,7,0,0,0,0.0
342,0,0.004627258,72,0,0.259091671,5966.0,8,0,1,0,1.0
343,0,0.441737773,57,1,0.385989249,11533.0,18,0,1,0,0.0
344,0,0.058697068,67,0,0.361585862,8600.0,18,0,1,0,2.0
345,0,0.932742307,57,0,0.179158783,6870.0,3,1,1,0,0.0
346,0,0.009519619,46,0,0.001136548,6158.0,3,0,0,0,1.0
347,0,0.0,36,0,0.953441874,3500.0,6,0,2,0,0.0
348,0,0.141971606,64,0,0.085728568,4000.0,2,0,0,0,0.0
349,0,0.0,61,0,889.0,0.02,11,0,0,0,0.0
350,0,0.290157743,29,1,0.009665428,4034.0,3,0,0,2,0.0
351,0,0.9999999,29,0,0.167191188,2541.0,3,0,0,0,2.0
352,0,0.02953448,59,0,0.280879865,6500.0,11,0,1,0,0.0
353,0,0.056905714,69,0,0.462218538,7238.0,16,0,1,0,0.0
354,0,0.09163397,64,0,101.0,0.11,3,0,0,0,0.0
355,0,0.9999999,57,0,0.0,1019.0,0,0,0,0,0.0
356,0,0.9999999,69,0,33.0,0.39,1,0,0,0,0.0
357,0,0.109936091,47,0,2231.0,0.16,8,0,2,0,2.0
358,0,0.08485132,60,0,1391.0,0.72,19,0,1,0,0.0
359,0,0.328575974,29,0,0.104575163,4130.0,10,0,0,0,0.0
360,0,0.396809715,58,0,0.437833037,1125.0,2,0,0,0,0.0
361,0,0.09354992,68,0,0.024786672,4921.0,8,0,0,0,0.0
362,0,0.330066993,40,0,0.475524476,1000.0,3,0,0,0,5.0
363,0,0.0,72,0,98.0,12.2,11,0,1,0,0.0
364,0,0.070519656,47,0,0.263411943,7250.0,10,0,1,0,1.0
365,0,0.0,71,0,0.0,4122.83,10,0,0,0,0.0
366,0,0.037280133,54,0,2218.0,0.05,7,0,1,0,0.0
367,0,0.012204793,72,0,0.441327539,2530.0,12,0,2,0,0.0
368,0,0.373002934,34,0,0.167840045,3550.0,6,0,0,0,1.0
369,0,0.592390153,43,0,0.921820881,4041.0,16,0,2,0,1.0
370,0,0.147604458,48,0,4210.0,0.01,16,0,3,0,0.0
371,0,0.262956174,26,0,0.016737892,2807.0,2,0,0,0,0.0
372,0,0.0,27,0,0.002305919,1300.0,3,0,0,0,0.0
373,0,0.0,29,1,388.0,0.45,4,0,0,0,0.0
374,0,0.003212394,80,0,0.212039159,4800.0,7,0,1,0,0.0
375,1,0.9999999,45,0,2803.0,0.07,2,0,1,0,0.0
